scenario_id,path,first_audio_ms,reply_done_ms,credits,correct,note,taken_at
deploy-check,agents,2722,3504,74,True,ツール呼んだ(1回) 1位=デプロイ手順 / 期待=デプロイ手順 / 返答=デプロイ手順によると、デプロイ前にはステージングで直近のマイグレーションが通って / 割り込み=なし,2026-09-10T15:48:37.092573+00:00
deploy-check,agents,2926,3622,65,True,ツール呼んだ(1回) 1位=デプロイ手順 / 期待=デプロイ手順 / 返答=デプロイ手順によると、デプロイ前にはステージングで直近のマイグレーションが通って / 割り込み=なし,2026-09-10T15:49:12.886996+00:00
rollback,agents,3252,3779,77,True,ツール呼んだ(1回) 1位=デプロイ手順 / 期待=デプロイ手順 / 返答=デプロイ手順によると、ロールバックは直前のタグでイメージをビルドし直して入れ替え / 割り込み=なし,2026-09-10T15:49:26.436407+00:00
glossary-rrf,agents,2987,3710,71,True,ツール呼んだ(1回) 1位=用語集 / 期待=用語集 / 返答=用語集によると、RRFはレジプロカルランクフュージョンと読み、キーワード検索と意 / 割り込み=なし,2026-09-10T15:49:37.219996+00:00
meeting-decisions,agents,3252,3646,70,True,ツール呼んだ(1回) 1位=2026-05-12 定例メモ / 期待=2026-05-12 定例メモ / 返答=二〇二六年五月十二日定例メモによると、検索結果の件数の既定を二十から十に減らすこ / 割り込み=なし,2026-09-10T15:49:59.459853+00:00
not-in-notes,agents,1266,1374,44,True,ツール呼ばなかった / 期待=None / 返答=ノートには来週の天気に関する情報は見当たりません。 / 割り込み=なし,2026-09-10T15:50:10.637283+00:00
deploy-check,custom,3189,3222,10,False,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン2939ms / 文1本19字 / 返答=デプロイ手順によると、ステージングで / 本文が途中で切れた（max_output_tokens=300 のとき。1024 に上げて再測）,2026-09-10T16:13:21.543478+00:00
deploy-check,custom,3460,3869,55,True,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン3133ms / 文2本110字 / 返答=デプロイ手順によると、デプロイ前にはステージングでマイグレーションが通っているこ,2026-09-10T16:14:02.071616+00:00
rollback,custom,6224,6693,50,True,検索1位=デプロイ手順 / 期待=デプロイ手順 / LLM初トークン5925ms / 文2本101字 / 返答=デプロイ手順によると、直前のタグでイメージをビルドし直して入れ替えます。データベ,2026-09-10T16:14:09.048309+00:00
glossary-rrf,custom,4229,4654,50,True,検索1位=用語集 / 期待=用語集 / LLM初トークン3869ms / 文2本101字 / 返答=用語集によると、RRFとはReciprocal Rank Fusionのことで、,2026-09-10T16:14:13.996183+00:00
meeting-decisions,custom,2845,3262,50,True,検索1位=2026-05-12 定例メモ / 期待=2026-05-12 定例メモ / LLM初トークン2397ms / 文2本99字 / 返答=2026年5月12日定例メモによると、検索結果の既定数を10件に減らすことや、在,2026-09-10T16:14:17.553175+00:00
not-in-notes,custom,1674,1816,16,True,検索1位=None / 期待=None / LLM初トークン1481ms / 文2本31字 / 返答=申し訳ありません。お探しの情報はノートには見当たりません。,2026-09-10T16:14:19.642275+00:00
deploy-check,agents,2479,3170,100,True,ツール呼んだ(1回) 1位=デプロイ手順 / 期待=デプロイ手順 / 返答=デプロイ手順によると、ステージングでマイグレーションが通っていることや、変更にデ / 割り込み=なし,2026-09-10T16:14:34.400701+00:00
rollback,agents,2653,3095,100,True,ツール呼んだ(1回) 1位=デプロイ手順 / 期待=デプロイ手順 / 返答=デプロイ手順によると、直前のタグでイメージをビルドし直してコンテナを入れ替えます / 割り込み=なし,2026-09-10T16:14:45.016533+00:00
glossary-rrf,agents,2633,3105,98,True,ツール呼んだ(1回) 1位=用語集 / 期待=用語集 / 返答=用語集によると、アールアールエフとはレシピプロカルランクフュージョンの略です。キ / 割り込み=なし,2026-09-10T16:14:55.565598+00:00
meeting-decisions,agents,1871,2485,88,True,ツール呼んだ(1回) 1位=2026-05-12 定例メモ / 期待=2026-05-12 定例メモ / 返答=二千二十六年五月十二日定例メモによると、検索結果の既定件数を十件に減らすことと、 / 割り込み=なし,2026-09-10T16:15:07.331662+00:00
not-in-notes,agents,2049,2346,85,True,ツール呼んだ(1回) 1位=None / 期待=None / 返答=ノートを検索しましたが、天気に関する記載は見当たりませんでした。お答えできず申し / 割り込み=なし,2026-09-10T16:15:19.108315+00:00
